,section,byline,title,abstract,class,print_page,pub_date,type_of_material,class_le,byline_le,section_le,type_of_material_le,title_clean,abstract_clean,title_vec_avg,abstract_vec_avg,title_len,abstract_len,capital_letters,title_punct_num,abstract_punct_num,title_!,abstract_!,title_?,abstract_?,authors_num,coauthors,sections_grouped,title_ner,title_ner_type,ners_num,ner_GPE,ner_PERSON,ner_ORG,ner_MONEY,ner_NORP,pub_day_of_week,title_sentiment,abstract_sentiment,countries
3398,Style,Guy Trebay,Nicole Kidman and Sophia Loren at Armani Pre-Oscars Party,"And a parade of stars, including Kristen Stewart and Joan Collins, at Chanel dinner.",all,0.0,2022-03-27 23:13:58+00:00,News,0,282.0,21.0,2.0,nicole kidman sophia loren armani pre-oscars party,"parade stars, including kristen stewart joan collins, chanel dinner.",-0.004229564,-0.0026096543,9,14,8,1,3,0,0,0,0,1,0,2,"['Nicole Kidman', 'Sophia Loren', 'Armani Pre-Oscars Party']","['PERSON', 'PERSON', 'PERSON']",3,0.0,1.0,0.0,0.0,0.0,6.0,0.4019,0.0,[]
880,Arts,Amanda Hess,Hollywood Bets Big on the Bad Entrepreneur,"With limited series like “The Dropout,” “WeCrashed” and “Super Pumped,” the culture is saturated with ripped-from-the-headlines tales of self-immolating moguls.",all,1.0,2022-03-05 10:00:16+00:00,News,0,41.0,0.0,2.0,hollywood bets big bad entrepreneur,"limited series like “the dropout,” “wecrashed” “super pumped,” culture saturated ripped-from-the-headlines tales self-immolating moguls.",-0.00787639,-0.011207128,7,20,5,0,7,0,0,0,0,1,0,1,['Hollywood Bets Big'],['ORG'],1,0.0,0.0,1.0,0.0,0.0,5.0,-0.5423,0.1531,[]
2343,U.S.,Blake Hounshell and Leah Askarinam,Climate Activists Flex Their Political Muscle,Environmental groups want Democrats to confront oil companies over high gas prices. And Democrats are listening.,all,0.0,2022-03-17 23:03:06+00:00,News,0,104.0,28.0,2.0,climate activists flex political muscle,environmental groups want democrats confront oil companies high gas prices. democrats listening.,-0.003462851,-0.009346161,6,16,6,0,2,0,0,0,0,1,0,6,[],[],0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.1027,[]
3650,U.S.,Charlie Savage,Why a Ruling Declaring Trump ‘Likely’ Broke Laws May Not Mean He Will Be Prosecuted,A high-profile ruling about a subpoena from the House committee investigating the Jan. 6 attack turned on a lower standard of proof than a criminal trial.,all,20.0,2022-03-29 23:44:51+00:00,News,0,142.0,28.0,2.0,ruling declaring trump ‘likely’ broke laws may mean prosecuted,high-profile ruling subpoena house committee investigating jan. 6 attack turned lower standard proof criminal trial.,-0.008570317,0.003555972,15,26,14,0,3,0,0,0,0,1,0,6,[],[],0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6597,-0.8271,[]
1820,Movies,Laura Zornosa,"Maria Bakalova, Billy Crystal and other stars show support for Ukraine.","Most of the Critics Choice ceremony has been focused on prizes, but the war in Ukraine has been addressed in a few ways.",all,0.0,2022-03-14 00:39:15+00:00,News,0,429.0,12.0,2.0,"maria bakalova, billy crystal stars show support ukraine.","critics choice ceremony focused prizes, war ukraine addressed ways.",-0.010510697,-0.0014281601,11,23,5,2,2,0,0,0,0,1,0,1,"['Maria Bakalova', 'Billy Crystal', 'Ukraine']","['PERSON', 'PERSON', 'GPE']",3,0.0,1.0,0.0,0.0,0.0,0.0,0.4019,-0.6465,['Ukraine']
1727,Health,Paula Span,Meet the Underdog of Senior Care,"The Program of All-Inclusive Care for the Elderly, funded by Medicare and Medicaid, has quietly succeeded in enabling some older Americans to age in place.",all,7.0,2022-03-12 17:06:36+00:00,News,0,593.0,10.0,2.0,meet underdog senior care,"program all-inclusive care elderly, funded medicare medicaid, quietly succeeded enabling older americans age place.",-0.024766225,-0.0006228115,6,25,4,0,4,0,0,0,0,1,0,2,[],[],0,0.0,0.0,0.0,0.0,0.0,5.0,0.4939,0.7184,[]
2215,U.S.,Maya King,Why Stacey Abrams Isn’t Embracing Her Democratic Stardom (So Far),"On the campaign trail for Georgia governor, she is talking more about Medicaid expansion than voting rights, betting that a hyperlocal strategy and the state’s leftward tilt can lift her to victory.",all,14.0,2022-03-17 09:00:13+00:00,News,0,512.0,28.0,2.0,stacey abrams isn’t embracing democratic stardom (so far),"campaign trail georgia governor, talking medicaid expansion voting rights, betting hyperlocal strategy state’s leftward tilt lift victory.",-0.0067372606,0.0032179204,10,32,10,2,3,0,0,0,0,1,0,6,['Stacey Abrams'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,[]
3211,Movies,Ben Kenigsberg,Peter Bogdanovich Had a Vision for This Film. Now It’s Finally Being Seen.,"“She’s Funny That Way” wasn’t exactly the movie he set out to make, but the director’s cut was feared lost. How it came to be shown at MoMA is a complicated saga.",all,3.0,2022-03-25 14:00:07+00:00,News,0,92.0,12.0,2.0,peter bogdanovich vision film. it’s finally seen.,"“she’s funny way” wasn’t exactly movie set make, director’s cut feared lost. came shown moma complicated saga.",-0.013046242,-0.01571853,13,32,11,2,3,0,0,0,0,1,0,1,['Peter Bogdanovich'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,4.0,0.25,-0.8381,[]
331,Business Day,Katie Robertson,Journalists at Gizmodo and related websites go on strike.,The contract between about 100 workers at six publications and G/O Media expired on Monday night.,all,0.0,2022-03-01 18:36:42+00:00,News,0,406.0,4.0,2.0,journalists gizmodo related websites go strike.,contract 100 workers six publications g/o media expired monday night.,-0.009532252,-0.0008337164,9,16,2,1,2,0,0,0,0,1,0,4,[],[],0,0.0,0.0,0.0,0.0,0.0,1.0,-0.128,0.0,[]
2132,Sports,Benjamin Hoffman,"Yankees’ Infield Is Complete, but Comes With Questions","By bringing back first baseman Anthony Rizzo, the Yankees have a solid player at each infield position. But they also passed on all of the top-tier free agents.",all,0.0,2022-03-16 14:53:32+00:00,News,0,97.0,20.0,2.0,"yankees’ infield complete, comes questions","bringing back first baseman anthony rizzo, yankees solid player infield position. also passed top-tier free agents.",-0.011660333,-0.0025047502,8,28,7,1,4,0,0,0,0,1,0,1,['Yankees'],['ORG'],1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.6956,[]
388,Business Day,Niraj Chokshi and Neal E. Boudette,Boeing and Ford suspend operations in Russia.,The U.S. manufacturing companies are the latest to shut down offices and factories since Russia invaded Ukraine.,all,0.0,2022-03-02 01:38:57+00:00,News,0,578.0,4.0,2.0,boeing ford suspend operations russia.,u.s. manufacturing companies latest shut offices factories since russia invaded ukraine.,-0.00049979327,-0.0043824245,7,17,3,1,3,0,0,0,0,1,0,4,"['Boeing', 'Ford', 'Russia']","['ORG', 'ORG', 'GPE']",3,0.0,0.0,1.0,0.0,0.0,2.0,-0.3182,0.0,['Russia']
1473,Food,Eric Asimov,12 Wines From Argentina and Chile to Seek Out,These distinctive wines show off the character and identity of South American terroirs.,all,6.0,2022-03-10 19:52:38+00:00,News,0,242.0,8.0,2.0,12 wines argentina chile seek,distinctive wines show character identity south american terroirs.,0.01741982,0.011710966,9,13,6,0,1,0,0,0,0,1,0,2,"['12', 'Argentina', 'Chile']","['CARDINAL', 'GPE', 'GPE']",3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"['Argentina', 'Chile']"
3091,The Learning Network,The Learning Network,Film Club: ‘Yaren and the Sun’,This short film tells the story of a camp for kids who have lost someone important. How do you deal with grief?,all,0.0,2022-03-24 17:41:15+00:00,News,0,695.0,24.0,2.0,film club: ‘yaren sun’,short film tells story camp kids lost someone important. deal grief?,-0.023829581,-0.012930559,6,22,4,1,2,0,0,0,1,1,0,7,"['Yaren', 'Sun']","['PERSON', 'ORG']",2,0.0,1.0,0.0,0.0,0.0,3.0,0.0,-0.5719,[]
3684,Arts,Noel Murray,Curious About ‘Moon Knight’? Here’s What You Need to Know.,"Starring Oscar Isaac and Ethan Hawke, the new Marvel series follows a troubled, crime-fighting caped crusader. But don’t mistake him for Batman.",all,0.0,2022-03-30 09:00:33+00:00,News,0,580.0,0.0,2.0,curious ‘moon knight’? here’s need know.,"starring oscar isaac ethan hawke, new marvel series follows troubled, crime-fighting caped crusader. don’t mistake batman.",-0.016902907,-0.005680473,10,22,9,2,5,0,0,1,0,1,0,1,[],[],0,0.0,0.0,0.0,0.0,0.0,2.0,0.3182,-0.4939,[]
2728,Books,Alida Becker,Hard Times: Novels That Explore Old Conflicts,"New books whisk readers back to the Civil War, World War II and medieval times.",all,9.0,2022-03-22 09:00:08+00:00,Review,0,32.0,1.0,6.0,hard times: novels explore old conflicts,"new books whisk readers back civil war, world war ii medieval times.",0.0007566873,-0.008251939,7,15,7,1,2,0,0,0,0,1,0,1,[],[],0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4588,-0.8316,[]
2639,Food,Eric Asimov,10 Grapes Worth Knowing Better,"For many reasons, these varieties have either been unfairly dismissed or are little known outside their home regions. But they make joyful wines.",all,7.0,2022-03-21 14:29:42+00:00,News,0,242.0,8.0,2.0,10 grapes worth knowing better,"many reasons, varieties either unfairly dismissed little known outside home regions. make joyful wines.",0.00021680872,-0.0024900993,5,23,4,0,3,0,0,0,0,1,0,2,['10'],['CARDINAL'],1,0.0,0.0,0.0,0.0,0.0,0.0,0.5859,0.7469,[]
2578,Briefing,Matthew Cullen,Your Monday Briefing: Russia’s Assault on Mariupol,Plus China’s new Covid strategy and concerns of world hunger.,all,0.0,2022-03-20 20:59:22+00:00,briefing,0,505.0,2.0,7.0,monday briefing: russia’s assault mariupol,plus china’s new covid strategy concerns world hunger.,-0.00052600226,-0.003059674,7,10,6,1,1,0,0,0,0,1,0,4,"['Monday', 'Russia', 'Mariupol']","['DATE', 'GPE', 'ORG']",3,0.0,0.0,0.0,0.0,0.0,6.0,-0.5859,-0.25,['Russia']
1822,New York,Jan Ransom,"Broadway Singing Coach, 87, Dies After Attack on Street",Barbara Maier Gustern was pushed to the ground outside her Manhattan apartment building by a woman who remains at large.,all,0.0,2022-03-14 01:19:24+00:00,News,0,321.0,13.0,2.0,"broadway singing coach, 87, dies attack street",barbara maier gustern pushed ground outside manhattan apartment building woman remains large.,-0.005744816,-0.0077866483,9,20,7,2,1,0,0,0,0,1,0,6,"['Broadway Singing Coach', '87']","['ORG', 'DATE']",2,0.0,0.0,1.0,0.0,0.0,0.0,-0.4767,0.0,[]
2860,Business Day,Gillian Friedman and Emma Goldberg,The Pandemic Wrecked Millions of Careers. These 6 People Built New Ones.,"For some, the Covid-19 crisis presented an opportunity to change course. For each, it was a big risk on a new future.",all,4.0,2022-03-23 09:00:32+00:00,News,0,272.0,4.0,2.0,pandemic wrecked millions careers. 6 people built new ones.,"some, covid-19 crisis presented opportunity change course. each, big risk new future.",-0.003698778,-0.0035230713,12,22,10,2,5,0,0,0,0,1,0,4,['6'],['CARDINAL'],1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.5267,[]
907,Arts,Richard Sandomir,"Tony Walton, Award-Winning Stage and Screen Designer, Dies at 87","He worked with the directors Mike Nichols, Bob Fosse and Jerry Zaks, winning three Tony Awards and an Oscar for “All That Jazz.”",all,18.0,2022-03-05 19:15:35+00:00,Obituary (Obit),0,612.0,0.0,4.0,"tony walton, award-winning stage screen designer, dies 87","worked directors mike nichols, bob fosse jerry zaks, winning three tony awards oscar “all jazz.”",0.0071305004,-0.006780939,10,23,8,3,3,0,0,0,0,1,0,1,"['Tony Walton', '87']","['PERSON', 'CARDINAL']",2,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7506,[]
900,Opinion,Jane Coaston,Putin’s Fear of Free Speech Speaks Volumes,What we are seeing in Russia is a reminder of why protecting free speech is so important.,all,0.0,2022-03-05 16:00:04+00:00,Op-Ed,0,323.0,15.0,5.0,putin’s fear free speech speaks volumes,seeing russia reminder protecting free speech important.,-0.007096474,-0.0006399143,7,17,6,0,1,0,0,0,0,1,0,7,['Putin'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,5.0,0.0258,0.6875,[]
2267,Movies,Kyle Buchanan,"A ‘Lost City’ Group Chat With Sandra Bullock, Channing Tatum and Daniel Radcliffe","Their movie comedy will be under close scrutiny at the box office. But they aren’t fazed and have lots to say about that Brad Pitt cameo, “Magic Mike” and “Harry Potter.”",all,8.0,2022-03-17 14:00:14+00:00,News,0,423.0,12.0,2.0,"‘lost city’ group chat sandra bullock, channing tatum daniel radcliffe","movie comedy close scrutiny box office. aren’t fazed lots say brad pitt cameo, “magic mike” “harry potter.”",-0.022397801,-0.016931584,13,31,12,1,3,0,0,0,0,1,0,1,"['Sandra Bullock', 'Channing Tatum', 'Daniel Radcliffe']","['PERSON', 'PERSON', 'PERSON']",3,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1901,[]
1139,Podcasts,"Michael Barbaro, Rob Szypko, Rachelle Bonja, Chelsea Daniel, Rikki Novetsky, Patricia Willens, Paige Cowett, Dan Powell and Chris Wood",Why Zelensky Poses a Unique Threat to Putin,"As the war grinds on, Ukraine’s president is trying to reach out to Russian citizens — many of them remember him as a popular comedian.",all,0.0,2022-03-08 11:00:05+00:00,News,0,523.0,16.0,2.0,zelensky poses unique threat putin,"war grinds on, ukraine’s president trying reach russian citizens — many remember popular comedian.",0.004922479,-0.012759249,8,25,6,0,2,0,0,0,0,8,1,7,"['Zelensky Poses', 'Putin']","['PERSON', 'PERSON']",2,0.0,1.0,0.0,0.0,0.0,1.0,-0.5267,0.1531,[]
260,Books,Dwight Garner,"‘In Love,’ a Novelist’s Powerful Memoir About a Happy Marriage and an Assisted Suicide","In her new book, Amy Bloom writes about loving her husband and helping him to end his life after a diagnosis of Alzheimer’s.",all,1.0,2022-03-01 10:00:11+00:00,Review,0,211.0,1.0,6.0,"‘in love,’ novelist’s powerful memoir happy marriage assisted suicide","new book, amy bloom writes loving husband helping end life diagnosis alzheimer’s.",-0.01730273,-0.010764806,14,23,10,1,2,0,0,0,0,1,0,1,"['Love', 'Novelist']","['WORK_OF_ART', 'NORP']",2,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.7269,[]
3366,Briefing,German Lopez,Ukraine’s Warning,Russia’s war in Ukraine is especially dangerous after decades of relative peace worldwide.,all,6.0,2022-03-27 11:10:36+00:00,briefing,0,270.0,2.0,7.0,ukraine’s warning,russia’s war ukraine especially dangerous decades relative peace worldwide.,-0.0063257986,-0.003977732,2,13,2,0,1,0,0,0,0,1,0,4,['Ukraine'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,6.0,-0.34,-0.5849,['Ukraine']
1027,Crosswords & Games,Lam Thuy Vo,How My Multilingual Upbringing Helps Me Solve Spelling Bee,A “woefully confused polyglot” discovers which non-English words have become common enough to count toward her Spelling Bee score.,all,0.0,2022-03-07 15:00:06+00:00,News,0,425.0,6.0,2.0,multilingual upbringing helps solve spelling bee,“woefully confused polyglot” discovers non-english words become common enough count toward spelling bee score.,-0.015640758,-0.011829953,9,19,9,0,2,0,0,0,0,1,0,1,[],[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,-0.3182,[]
2420,World,Max Fisher,Russia’s Brutality in Ukraine Has Roots in Earlier Conflicts,Its experience in a string of wars led to the conclusion that attacking civilian populations was not only acceptable but militarily sound.,all,5.0,2022-03-18 13:59:41+00:00,News,0,511.0,30.0,2.0,russia’s brutality ukraine roots earlier conflicts,experience string wars led conclusion attacking civilian populations acceptable militarily sound.,0.0031026811,0.0037993581,9,22,7,0,1,0,0,0,0,1,0,5,['Russia'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,4.0,-0.765,-0.5833,['Russia']
3733,World,Saif Hasnat,Bangladesh Sentences 4 to Death for Blogger’s Murder,"The victim, who had promoted secularism, was among several writers fatally attacked in the country in 2015.",all,0.0,2022-03-30 15:53:51+00:00,News,0,637.0,30.0,2.0,bangladesh sentences 4 death blogger’s murder,"victim, promoted secularism, among several writers fatally attacked country 2015.",0.0019022772,-0.003656079,8,17,5,0,3,0,0,0,0,1,0,5,['4'],['CARDINAL'],1,0.0,0.0,0.0,0.0,0.0,2.0,-0.8555,-0.7579,[]
2455,Business Day,Ana Swanson,U.S. warns servicing or refueling some Russian-owned planes may violate trade restrictions.,"Export controls introduced in late February prohibit exporting aircraft that were made in the U.S. or use some U.S. parts to Russia, effectively grounding some international flights, the Commerce Department said.",all,0.0,2022-03-18 19:23:43+00:00,News,0,48.0,4.0,2.0,u.s. warns servicing refueling russian-owned planes may violate trade restrictions.,"export controls introduced late february prohibit exporting aircraft made u.s. use u.s. parts russia, effectively grounding international flights, commerce department said.",-0.0010358247,-0.0018484584,12,31,3,4,7,0,0,0,0,1,0,4,"['U.S.', 'Russian']","['GPE', 'NORP']",2,1.0,0.0,0.0,0.0,0.0,4.0,-0.5574,0.4404,['U.S.']
1160,Business Day,Stanley Reed,The European Union seeks independence from Russian oil and gas.,Europe had long trusted in what many thought was a mutually beneficial business relationship. That has changed.,all,5.0,2022-03-08 15:00:18+00:00,News,0,675.0,4.0,2.0,european union seeks independence russian oil gas.,europe long trusted many thought mutually beneficial business relationship. changed.,-0.002450428,-0.008148099,10,17,4,1,2,0,0,0,0,1,0,4,"['The European Union', 'Russian']","['ORG', 'NORP']",2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7184,[]
1866,Business Day,Lauren Hirsch,Companies partly exiting Russia are under pressure to make it all or nothing.,Some companies have revised their plans after being pushed to make a more definitive break from the country.,all,4.0,2022-03-14 13:27:08+00:00,News,0,432.0,4.0,2.0,companies partly exiting russia pressure make nothing.,companies revised plans pushed make definitive break country.,-0.010282606,-0.0064862827,13,18,2,1,1,0,0,0,0,1,0,4,['Russia'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,0.0,-0.296,0.0,['Russia']
2314,Arts,Margaret Lyons,How Much Watching Time Do You Have This Weekend?,"Our TV critic’s recommendations this week include a pirate comedy, a Jane Austen drama and an Australian newsroom show set in 1986.",all,2.0,2022-03-17 19:58:49+00:00,News,0,480.0,0.0,2.0,much watching time weekend?,"tv critic’s recommendations week include pirate comedy, jane austen drama australian newsroom show set 1986.",-0.017848663,-0.0037160928,9,22,9,1,2,0,0,1,0,1,0,1,['This Weekend'],['DATE'],1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3612,[]
1618,Opinion,Paul Krugman,"Wonking Out: Lies, Damned Lies and Gasoline Prices","Do Republicans think we’re stupid? Well, yes. ",all,0.0,2022-03-11 17:30:06+00:00,Op-Ed,0,591.0,15.0,5.0,"wonking out: lies, damned lies gasoline prices","republicans think we’re stupid? well, yes.",-0.0075603356,-0.015570595,8,7,7,2,3,0,0,0,1,1,0,7,[],[],0,0.0,0.0,0.0,0.0,0.0,4.0,-0.802,0.1027,[]
3895,U.S.,Ellen Barry,Many Teens Report Emotional and Physical Abuse by Parents During Lockdown,"New data on teen mental health during the pandemic suggests that for many, home life was full of stressors like job loss, hunger and even violence.",all,0.0,2022-03-31 17:00:10+00:00,News,0,229.0,28.0,2.0,many teens report emotional physical abuse parents lockdown,"new data teen mental health pandemic suggests many, home life full stressors like job loss, hunger even violence.",-0.00924235,-0.009446437,11,26,9,0,3,0,0,0,0,1,0,6,[],[],0,0.0,0.0,0.0,0.0,0.0,3.0,-0.5574,-0.8402,[]
2576,Opinion,Thomas L. Friedman,It’s Now Putin’s Plan B in Ukraine vs. Biden’s and Zelensky’s Plan A,Russia’s strategic choices could become increasingly frightening to the West.,all,23.0,2022-03-20 20:00:09+00:00,Op-Ed,0,701.0,15.0,5.0,it’s putin’s plan b ukraine vs. biden’s zelensky’s plan,russia’s strategic choices could become increasingly frightening west.,-0.0027788978,-0.009395482,13,10,10,1,1,0,0,0,0,1,0,7,"['Putin', 'Ukraine', 'Biden', 'Zelensky']","['PERSON', 'GPE', 'PERSON', 'PERSON']",4,0.0,1.0,0.0,0.0,0.0,6.0,0.0,-0.4939,['Ukraine']
1657,U.S.,Amanda Holpuch,Court Declares Man Wrongfully Imprisoned for 45 Years,"The official declaration this week means that Isaiah Andrews, 84, can seek damages from the State of Ohio for spending more than half his life in prison after being wrongly convicted of killing his wife.",all,17.0,2022-03-11 22:34:14+00:00,News,0,42.0,28.0,2.0,court declares man wrongfully imprisoned 45 years,"official declaration week means isaiah andrews, 84, seek damages state ohio spending half life prison wrongly convicted killing wife.",-0.0075924993,-0.00381526,8,35,6,0,3,0,0,0,0,1,0,6,['45 Years'],['DATE'],1,0.0,0.0,0.0,0.0,0.0,4.0,-0.4588,-0.891,[]
2090,Opinion,Ross Douthat,Will the Ukraine War End the Age of Populism?,Populism’s poor fit for this particular moment has given an opportunity to its enemies and critics.,all,22.0,2022-03-16 09:00:21+00:00,Op-Ed,0,627.0,15.0,5.0,ukraine war end age populism?,populism’s poor fit particular moment given opportunity enemies critics.,0.0009866667,-0.011864995,9,16,6,1,1,0,0,1,0,1,0,7,['the Ukraine War End the Age of Populism'],['EVENT'],1,0.0,0.0,0.0,0.0,0.0,2.0,-0.5994,-0.4939,[]
1312,Theater,Michael Paulson,Tony Awards to Announce Prizes in June at Radio City Music Hall,"The 75th ceremony, honoring plays and musicals staged on Broadway, resumes its traditional calendar after a few years of pandemic disruption.",all,7.0,2022-03-09 18:30:11+00:00,News,0,537.0,25.0,2.0,tony awards announce prizes june radio city music hall,"75th ceremony, honoring plays musicals staged broadway, resumes traditional calendar years pandemic disruption.",0.008660021,9.867449e-05,12,21,9,0,3,0,0,0,0,1,0,1,"['Tony Awards', 'June', 'Radio City Music Hall']","['PERSON', 'DATE', 'ORG']",3,0.0,1.0,0.0,0.0,0.0,2.0,0.7184,0.4215,[]
2910,World,Matina Stevis-Gridneff,NATO doubles its battlegroups in Eastern Europe ahead of multiple summits.,"The alliance’s secretary general announced the deployment of new battlegroups in Bulgaria, Hungary, Romania and Slovakia. NATO has four others in the region.",all,0.0,2022-03-23 16:18:59+00:00,News,0,501.0,30.0,2.0,nato doubles battlegroups eastern europe ahead multiple summits.,"alliance’s secretary general announced deployment new battlegroups bulgaria, hungary, romania slovakia. nato four others region.",0.0012185542,0.00076766254,11,23,6,1,4,0,0,0,0,1,0,5,"['NATO', 'Eastern Europe']","['ORG', 'LOC']",2,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,[]
2454,Technology,Cecilia Kang,A judge throws out D.C.’s attempt to name Zuckerberg in a privacy lawsuit.,"D.C.’s attorney general had waited too long to add Mark Zuckerberg as a defendant in the suit against Meta, the judge said.",all,0.0,2022-03-18 19:04:59+00:00,News,0,135.0,23.0,2.0,judge throws d.c.’s attempt name zuckerberg privacy lawsuit.,"d.c.’s attorney general waited long add mark zuckerberg defendant suit meta, judge said.",-0.010586694,-0.017383445,13,22,4,3,4,0,0,0,0,1,0,3,"['D.C.', 'Zuckerberg']","['GPE', 'PERSON']",2,1.0,0.0,0.0,0.0,0.0,4.0,-0.2263,0.0,['D.C.']
2704,U.S.,Mitch Smith and Eduardo Medina,"Bucking Republican Trend, Indiana Governor Vetoes Transgender Sports Bill",Gov. Eric Holcomb nixed legislation that would have blocked transgender girls from playing school sports. Eleven states have enacted similar bills.,all,17.0,2022-03-22 01:29:24+00:00,News,0,548.0,28.0,2.0,"bucking republican trend, indiana governor vetoes transgender sports bill",gov. eric holcomb nixed legislation would blocked transgender girls playing school sports. eleven states enacted similar bills.,-0.0012857898,-0.001096944,9,21,9,1,3,0,0,0,0,1,0,6,"['Bucking Republican Trend', 'Indiana']","['ORG', 'GPE']",2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0772,['Indiana']
3197,Briefing,David Leonhardt and Ian Prasad Philbrick,Ukraine’s Diaspora,More than three million Ukrainians have fled their country. See who they are.,all,0.0,2022-03-25 10:45:40+00:00,briefing,0,196.0,2.0,7.0,ukraine’s diaspora,three million ukrainians fled country. see are.,-0.012951015,-0.00577234,2,13,2,0,2,0,0,0,0,1,0,4,['Ukraine'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,['Ukraine']
233,Opinion,"David Brooks, Gail Collins, Ross Douthat and Bret Stephens",‘My Fellow Americans’: Four Times Columnists Channel Joe Biden,We will start again — and we will start now.,all,23.0,2022-03-01 06:00:05+00:00,Op-Ed,0,184.0,15.0,5.0,‘my fellow americans’: four times columnists channel joe biden,start — start now.,-0.0115987,-0.014803842,9,10,9,1,1,0,0,0,0,3,1,7,"['Americans', 'Four Times Columnists', 'Joe Biden']","['NORP', 'ORG', 'PERSON']",3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,[]
1781,World,Tiffany May,"With cases still rising in Hong Kong, 300,000 people are isolating at home, officials say.",The city’s officials are scrambling to build quarantine and mass quarantine centers as cases of the Omicron and Delta variants spread widely.,all,0.0,2022-03-13 15:07:26+00:00,News,0,706.0,30.0,2.0,"cases still rising hong kong, 300,000 people isolating home, officials say.",city’s officials scrambling build quarantine mass quarantine centers cases omicron delta variants spread widely.,-0.0021533843,0.0003458933,15,22,3,4,1,0,0,0,0,1,0,5,"['Hong Kong', '300,000']","['GPE', 'CARDINAL']",2,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,['Hong Kong']
3419,Arts,James Poniewozik,An Onstage Slap Gives the Oscars More Drama Than It Bargained For,The show strained to offer something for everyone. But it could still create shocking moments.,all,1.0,2022-03-28 04:04:32+00:00,Review,0,317.0,0.0,6.0,onstage slap gives oscars drama bargained,show strained offer something everyone. could still create shocking moments.,-0.009513922,-0.004879884,12,15,11,0,2,0,0,0,0,1,0,1,[],[],0,0.0,0.0,0.0,0.0,0.0,0.0,0.1531,-0.4118,[]
3720,Business Day,Matthew Goldstein,Lawmakers Join Calls to Close a Loophole Shielding Oligarchs’ Investments,"Senators Elizabeth Warren and Sheldon Whitehouse called on regulators to interpret oversight powers more broadly to cover hedge funds, private equity firms and more.",all,3.0,2022-03-30 14:00:10+00:00,News,0,507.0,4.0,2.0,lawmakers join calls close loophole shielding oligarchs’ investments,"senators elizabeth warren sheldon whitehouse called regulators interpret oversight powers broadly cover hedge funds, private equity firms more.",-0.008116096,-0.0087670265,10,24,8,0,2,0,0,0,0,1,0,4,[],[],0,0.0,0.0,0.0,0.0,0.0,2.0,0.296,0.0,[]
3570,Podcasts,"Sabrina Tavernise, Michael Simon Johnson, Stella Tan, Rachelle Bonja, Rikki Novetsky, Paige Cowett, Brad Fisher, Marion Lozano and Chris Wood",Senator Joe Manchin’s Conflict of Interest,"How the West Virginia lawmaker intervened on behalf of a coal plant, and earned millions along the way.",all,0.0,2022-03-29 10:00:09+00:00,News,0,635.0,16.0,2.0,senator joe manchin’s conflict interest,"west virginia lawmaker intervened behalf coal plant, earned millions along way.",-0.013020365,-0.0050092246,6,18,5,0,2,0,0,0,0,8,1,7,['Joe Manchin'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,1.0,0.1779,0.0,[]
3243,U.S.,Nick Corasaniti,"Judge Throws Out Maryland Congressional Map, in Blow to Democrats","The ruling, in which the judge said Democrats had drawn an “extreme gerrymander,” was the first time this redistricting cycle that the party’s legislators had a congressional map defeated in court.",all,15.0,2022-03-25 17:42:49+00:00,News,0,568.0,28.0,2.0,"judge throws maryland congressional map, blow democrats","ruling, judge said democrats drawn “extreme gerrymander,” first time redistricting cycle party’s legislators congressional map defeated court.",-0.0066624833,-0.010381613,10,31,8,1,3,0,0,0,0,1,0,6,"['Throws Out', 'Maryland', 'Blow', 'Democrats']","['PERSON', 'GPE', 'NORP', 'NORP']",4,0.0,1.0,0.0,0.0,0.0,4.0,0.0,-0.4767,['Maryland']
