,section,byline,title,abstract,class,print_page,pub_date,type_of_material
1072,The Learning Network,By Jeremy Engle and Michael Gonchar,What Sports Deserve More Hype?,"Pickleball, a mash-up of tennis, badminton and Ping-Pong, has been growing in popularity. What other sports should be more appreciated?",all,,2022-03-07T10:00:09+0000,News
1073,Opinion,By Emma Camp,I Came to College Eager to Debate. I Found Self-Censorship Instead.,"When we censor ourselves, our learning environments suffer.",all,19,2022-03-07T10:00:10+0000,Op-Ed
1074,Opinion,By ‘Sway',‘Putin Will Not Lose. He’s Not Going to Let That Happen.’,"Whether the Russian leader wins this war or loses it, Europe is in trouble.",all,,2022-03-07T10:00:11+0000,Op-Ed
1075,U.S.,By Elizabeth Williamson,Alex Jones and Donald Trump: A Fateful Alliance Draws Scrutiny,The Infowars host tormented Sandy Hook families and helped elect President Donald J. Trump. His role in the Jan. 6 Capitol attack is now of growing interest to congressional investigators.,all,16,2022-03-07T10:00:15+0000,News
1076,Business Day,By Jack Ewing,Car Industry Woes Show How Global Conflicts Will Reshape Trade,"The war in Ukraine has highlighted the risks of doing business with authoritarian countries — not just Russia, but also China.",all,6,2022-03-07T10:00:17+0000,News
1077,Opinion,By Margaret Renkl,What to Do With Spring’s Wild Joy in a Burning World,"In this troubled time, it would be a crime to snuff out any flicker of joy that somehow leaps into life.",all,27,2022-03-07T10:00:19+0000,News
1078,Well,By Alice Callahan,Will One Moldy Berry Ruin the Rest?,Here’s what the experts say.,all,6,2022-03-07T10:00:19+0000,News
1079,Opinion,By Melissa Murray,Amy Coney Barrett Was a Supermom. So Is Ketanji Brown Jackson.,Republicans celebrated Amy Coney Barrett’s role at home. Democrats should do the same for Ketanji Brown Jackson.,all,21,2022-03-07T10:00:20+0000,Op-Ed
1080,U.S.,By Adam Liptak,"Their Time Served, Sex Offenders Are Kept in Prison in ‘Cruel Catch-22’","New York prisons will not release people convicted of some sex offenses until they find housing far from schools. But that is hard to do, especially from behind bars.",all,19,2022-03-07T10:00:21+0000,News
1081,Real Estate,By Tim McKeough,Shopping for Teapots,Because a beautiful teapot makes drinking tea even better.,all,6,2022-03-07T10:00:21+0000,News
1082,Travel,By Caleb Kenna,"Vermont, Dressed in Snow","For a longtime aerial photographer, snowfall in the Green Mountain State offers a fresh palette of possibility.",all,20,2022-03-07T10:00:22+0000,News
1083,Opinion,By Gail Collins and Bret Stephens,Ukraine Is a Test We Cannot Fail,"We need to make it clear to Vladimir Putin that he will never, ever win this war.",all,20,2022-03-07T10:00:22+0000,Op-Ed
1084,World,By Jason Horowitz and Nadia Shira Cohen,Italian City Tied to Russia by a Revered Saint Feels the Sting of War in Ukraine,The port of Bari holds relics venerated by Orthodox Christians throughout the former Soviet bloc. Today it is also home to a spillover of tensions from Russia’s invasion.,all,12,2022-03-07T10:00:24+0000,News
1085,Food,By Robert Simonson,Manhatta to Reopen With a Focus on Drinks,"Danny Meyer’s 60th-floor restaurant, which closed at the start of the pandemic, will return on St. Patrick’s Day.",all,2,2022-03-07T10:00:24+0000,News
1086,New York,By Mihir Zaveri,Rents Are Roaring Back in New York City,"While rents plunged at the start of the pandemic, they are now surging, and the increase is double the national rate, amplifying the city’s affordability crisis.",all,14,2022-03-07T10:00:24+0000,News
1087,Sports,By Adam Zagoria,Patrick Ewing Needs Another Moment of Glory at the Garden,"One year after winning the Big East title game to gain an N.C.A.A. tournament berth, Georgetown enters this year’s conference tournament winless in league play.",all,11,2022-03-07T10:00:24+0000,News
1088,New York,By Corey Kilgannon,The Staten Island House Where Black History Lives,A 90-year-old former schoolteacher’s collection includes Muhammad Ali’s boxing shoes and Tuskegee Airmen headgear — but it also features Ku Klux Klan toys.,all,22,2022-03-07T10:00:24+0000,News
1089,Technology,By Daisuke Wakabayashi,Dreaming of Suitcases in Space,A California start-up company believes it can one day speed delivery of important items by storing them in orbit.,all,1,2022-03-07T10:00:29+0000,News
1090,Business Day,By Jack Ewing and Eric Lipton,Carmakers Race to Control Next-Generation Battery Technology,"The prize: batteries that would be cheaper, faster to charge and less vulnerable to raw material shortages. Whoever gets there first will have a major advantage.",all,1,2022-03-07T10:00:30+0000,News
1091,New York,By James Barron,This Price Surge Really Hits New Yorkers Hard,"Rents are spiking in the city, especially in wealthier neighborhoods, where they have gone up by 40 percent.",all,,2022-03-07T10:15:05+0000,briefing
1092,World,By Chris Buckley and Steven Lee Myers,"‘No Wavering’: After Turning to Putin, Xi Faces Hard Wartime Choices for China",Beijing aligned itself with Putin as Russia prepared to invade Ukraine. Now its efforts to edge away are constrained by leadership politics.,all,13,2022-03-07T10:41:30+0000,News
1093,Podcasts,"By Sabrina Tavernise, Lynsea Garrison, Sydney Harper, Kaitlin Roberts, Mike Benoist, Marion Lozano and Chris Wood",On the Road With Ukraine’s Refugees,We report alongside Ukrainians making their escape from Russia’s increasingly brutal invasion.,all,,2022-03-07T11:00:07+0000,News
1094,World,By Marc Santora,Here are the latest developments in Ukraine.,"LVIV, Ukraine — On land, in the air and across the sea, the Ukrainian military and civilian soldiers continued to bedevil and bog down Russian forces on Tuesday, protecting the borders of key cities and inflicting heavy losses against the larger and better equipped Russian army.",all,,2022-03-07T11:21:58+0000,News
1095,Briefing,By David Leonhardt,Preventing This War,What might have done it?,all,,2022-03-07T11:31:35+0000,briefing
1096,Sports,By Tariq Panja,FIFA Will Allow Foreign Players in Russia to Break Contracts,"The move announced Monday is temporary, but it will free about 100 players to seek new teams for the rest of the season.",all,12,2022-03-07T12:52:35+0000,News
1097,Business Day,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni","As Oil Goes Up, Stocks Go Down",Climbing energy prices are roiling markets.,all,,2022-03-07T13:35:10+0000,News
1098,U.S.,By Livia Albeck-Ripka,"In a First, California Plans to Clean Up Microplastics",The state has adopted a strategy to monitor and reduce the ubiquitous form of pollution.,all,,2022-03-07T13:54:04+0000,briefing
1099,Real Estate,By Angela Serratore,$2 Million Homes in California,"A ranch house in Los Angeles, a renovated 1963 home in Newport Beach and a hillside bungalow near Berkeley.",all,,2022-03-07T14:00:19+0000,News
1100,World,By Maria Varenikova,Hate for Putin’s Russia Consumes Ukraine,"Much of the bitterness is directed at President Vladimir V. Putin, but Ukrainians also chastise ordinary Russians, calling them complicit.",all,1,2022-03-07T14:38:30+0000,News
1101,Business Day,By William P. Davis and Stanley Reed,Stocks extend their rout as the Ukraine war and its economic fallout intensify.,The S&P 500’s drop was its sharpest since October 2020. The tech-heavy Nasdaq composite is down 20 percent from its November record.,all,1,2022-03-07T14:46:39+0000,News
1102,Crosswords & Games,By Lam Thuy Vo,How My Multilingual Upbringing Helps Me Solve Spelling Bee,A “woefully confused polyglot” discovers which non-English words have become common enough to count toward her Spelling Bee score.,all,,2022-03-07T15:00:06+0000,News
1103,Arts,By Jennifer Schuessler,Two ‘Leftist Bros’ Dive Into Conservatism to ‘Know Your Enemy’,"The podcast hosted by Matthew Sitman and Sam Adler-Bell offers history lessons that middle-aged liberals, young socialists and even some conservatives can love.",all,1,2022-03-07T15:00:13+0000,News
1104,World,By Isabella Kwai,"An agreement on nuclear plants in Ukraine is urgently needed, the U.N. nuclear agency says.","There has been no release of radiation, but problems have arisen at plants, said Rafael Mariano Grossi, the head of the International Atomic Energy Agency.",all,,2022-03-07T15:09:12+0000,News
1105,Business Day,By Eduardo Porter,"Employer Practices Limit Workers’ Choices and Wages, U.S. Study Argues",A Biden administration report says collusion and other constraints on competition hold down pay and prospects in the labor market.,all,5,2022-03-07T15:11:52+0000,News
1106,World,By Marlise Simons,Ukraine takes its case against Russia to the U.N.’s highest court.,The head of the Ukrainian delegation told the court that “millions are in danger” and accused Moscow of defiling the Genocide Convention.,all,,2022-03-07T15:17:56+0000,News
1107,Arts,By Graham Bowley,Supreme Court Will Not Review Decision to Overturn Bill Cosby’s Conviction,"Prosecutors had appealed a ruling by the Pennsylvania Supreme Court, which had overturned the conviction on due process grounds.",all,19,2022-03-07T15:26:36+0000,News
1108,Theater,By Julia Jacobs,"The Flea Theater, Experimenting Again, Walks a New Tightrope","Back from the brink of extinction, the Off Off Broadway fixture is testing a new structure that gives artists the autonomy they demanded.",all,1,2022-03-07T15:34:30+0000,News
1109,Business Day,By Joe Nocera,Take a closer look at why American mask makers are going out of business.,"Back in 2005, when low-cost Chinese manufacturers were taking over the personal protective equipment industry, Mike Bowen joined a friend who had started a small surgical-mask company called Prestige Ameritech. The plan was to market his company’s masks to American hospitals and distributors as a way to provide resilience — a means of ensuring domestic supply, if the global supply chain ever faltered.",all,,2022-03-07T15:43:07+0000,News
1110,Food,By Sam Sifton,15-Minute Garlic Noodles for the Monday Blues,Tuck into J. Kenji López-Alt’s interpretation of the Vietnamese American classic.,all,,2022-03-07T16:00:13+0000,Letter
1111,Health,By Pam Belluck,"Covid May Cause Changes in the Brain, New Study Finds","Brain scans before and after infection showed more loss of gray matter and tissue damage, mostly in areas related to smell, in people who had Covid than in those who did not.",all,15,2022-03-07T16:00:13+0000,News
1112,Theater,By Michael Paulson,Daniel Radcliffe to Star in Off Broadway ‘Merrily’ Revival,A new production of Stephen Sondheim’s “Merrily We Roll Along” is to be staged late this year by the nonprofit New York Theater Workshop in the East Village.,all,2,2022-03-07T16:00:14+0000,News
1113,World,By Emma Bubola,Queen Elizabeth holds her first face-to-face meeting after she had Covid.,The queen received Prime Minister Justin Trudeau of Canada at Windsor Castle on Monday.,all,,2022-03-07T16:01:51+0000,News
1114,Climate,By Henry Fountain,"Amazon Is Less Able to Recover From Droughts and Logging, Study Finds","The region is nearing a threshold beyond which its forests may be replaced by grasslands, with huge repercussions for biodiversity and climate change.",all,5,2022-03-07T16:02:15+0000,News
1115,Business Day,By Gregory Schmidt,Deloitte and EY join other big companies exiting Russia.,"The accounting firms said they would sever ties, after similar announcements from their rivals KPMG and PwC.",all,4,2022-03-07T16:03:54+0000,News
1116,Business Day,By Katie Robertson,Axios Wants Us to Read Everything in Bullet Points,"The news organization that prides itself on short-format writing has big plans to expand in local news, paid newsletters and even the emails sent by your bosses.",all,1,2022-03-07T16:04:19+0000,News
1117,U.S.,By Kate Zernike,States Aren’t Waiting for the Supreme Court to Tighten Abortion Laws,"In anticipation of the court’s decision, a frenzy of legislative activity to shut down access to abortion forms a picture of a post-Roe America.",all,17,2022-03-07T16:20:23+0000,News
1118,Health,By Pam Belluck,"Covid may cause changes in the brain, a new study finds.","Covid-19 may cause greater loss of gray matter and tissue damage in the brain than naturally occurs in people who have not been infected with the virus, a large new study finds.",all,,2022-03-07T16:26:08+0000,News
1119,Movies,By Brooks Barnes,"With ‘Turning Red,’ a Big Red Panda Helps Break a Glass Ceiling",Domee Shi is the first woman filmmaker with sole directing credit on a Pixar feature.,all,1,2022-03-07T16:27:09+0000,News
1120,World,By Elian Peltier and Jasmina Nielsen,"These Refugees Can’t Stay in Denmark, but They Can’t Be Sent Home",Dozens of Syrian asylum seekers are stuck in limbo after the Danish authorities decided it was safe for them to go back home and stripped their residency permits.,all,4,2022-03-07T16:29:15+0000,News
1121,Climate,By Coral Davenport,E.P.A. to Tighten Tailpipe Rules for the Biggest Polluters on the Road,"For the first time since 2001, the government is setting more stringent limits on pollution from trucks, vans, and buses that harms human health.",all,18,2022-03-07T16:32:32+0000,News
1122,World,By Michael Schwirtz,"Ukrainian forces have repelled another Russian assault on Mykolaiv, officials say.","As the opposing armies fought outside the strategic port city near the Black Sea, residential areas within Mykolaiv came under intensifying Russian rocket and artillery fire.",all,,2022-03-07T16:44:50+0000,News
1123,World,By Dan Bilefsky,A Quebec restaurant that claimed to invent poutine rebrands to rebuke Putin (Poutine in French).,Protest against the war in Ukraine has a new cultural front — food and drink names — as people across the world show solidarity with Ukraine by renaming or boycotting Russian-made products.,all,,2022-03-07T16:57:05+0000,News
1124,Opinion,,Have You Had an Experience With ‘Death Cleaning’? Tell Us Your Story.,We ask readers about preparing in advance or cleaning a house after the loss of a family member.,all,20,2022-03-07T17:03:15+0000,Letter
1125,U.S.,By Adam Liptak,Supreme Court Says 10 Burglaries Can Count as One Offense,The case concerned a federal law that calls for stiff sentences for gun crimes when the defendant had committed three felonies “on occasions different from one another.”,all,19,2022-03-07T17:35:40+0000,News
1126,New York,By Lola Fadulu,"New York’s Students Shed Their Masks, Warily, in Pandemic Milestone","Not all New York’s students were ready to give up masks, even after Mayor Eric Adams said they could.",all,15,2022-03-07T17:40:42+0000,News
1127,World,By Adeel Hassan,The pandemic’s official global toll surpasses 6 million known virus deaths.,"And stark vaccination disparities between countries remain, leaving the entire world vulnerable to the threat of a new, deadly variant.",all,13,2022-03-07T17:48:17+0000,News
1128,Opinion,,A Ukrainian Family Killed While Fleeing,“Do we have the courage to stop Vladimir Putin?” a reader asks. Others discuss sanctions and censorship. Also: Pregnant at work; truly seeing; “unbecoming” women.,all,20,2022-03-07T17:49:16+0000,Letter
1129,Style,By Alexander Lobrano,Dior’s New Chef Has Aspirations,Chef Jean Imbert’s job is to make the new Dior restaurant the go-to dining spot for the fashion crowd. Here’s how he plans to do it.,all,,2022-03-07T18:09:32+0000,News
1130,Technology,By Adam Satariano and Valerie Hopkins,"Russia, Blocked From the Global Internet, Plunges Into Digital Isolation","Russian authorities and multinational companies have erected a digital barricade between the country and the West, erasing the last remnants of independent information online.",all,1,2022-03-07T18:22:50+0000,News
1131,Business Day,By Ana Swanson,Congress moves to bar Russian energy imports and end favorable trade relations.,"A bipartisan group of lawmakers reached an agreement on legislation that, if passed, would bar imports of Russian energy and suspend normal trade relations with Russia and Belarus.",all,,2022-03-07T18:26:07+0000,News
1132,World,By Steven Lee Myers,"With New Limits on Media, Putin Closes a Door on Russia’s ‘Openness’","The Russian leader is undoing the social freedoms introduced at the end of the Soviet Union, risking a return to total control and ideological isolation.",all,1,2022-03-07T18:39:05+0000,News
1133,U.S.,By Madeleine Ngo and Adam Bednar,Truckers demonstrate outside Washington for a second day.,Organizers of a convoy of vehicles protesting mask and vaccine mandates said they would drive another lap around the Beltway on Monday but did not intend to enter the capital.,all,,2022-03-07T18:48:25+0000,News
1134,Arts,By Ben Sisario,How the ‘Encanto’ Soundtrack Became a Smash,"With its eighth week at No. 1 on Billboard’s album chart, the LP featuring songs from Lin-Manuel Miranda is a lesson in how fans drive hits from social media to streaming services.",all,5,2022-03-07T18:52:58+0000,News
1135,Arts,By Javier C. Hernández,Metropolitan Opera Will Host Concert in Support of Ukraine,"“We want Putin to know he is the enemy of artists and that we are united against his horrific actions,” the company’s general manager said.",all,4,2022-03-07T19:00:08+0000,News
1136,Sports,By David Waldstein,Ukraine’s Paralympians Are ‘All Thinking of Home’,Some members of Ukraine’s delegation at the Beijing Paralympics described their emotional exhaustion and the toll of their isolation.,all,12,2022-03-07T19:48:48+0000,News
1137,Opinion,By Jay Caspian Kang,Fighting Disinformation Can Feel Like a Lost Cause. It Isn’t.,The right lessons can teach us all how to spot it.,all,18,2022-03-07T20:00:07+0000,Op-Ed
1138,Opinion,By Maia Szalavitz,What the Opioid Crisis Took From People in Pain,"Opioid prescriptions are down, but overdose deaths remain high, and certain patients have lost relief.",all,3,2022-03-07T20:00:08+0000,Op-Ed
1139,Opinion,By Richard L. Hasen,How to Keep the Rising Tide of Fake News From Drowning Our Democracy,"It won’t be easy, but our democracy depends on it. ",all,6,2022-03-07T20:00:09+0000,Op-Ed
1140,Arts,By Rachel Felder,"In Miami Beach, Off the Beaten Track, a Gallery District Beckons",Do two galleries make a scene? Their owners hope collectors in search of emerging artists travel beyond the established art communities to Jupiter and Central Fine.,all,5,2022-03-07T20:08:16+0000,News
1141,Books,By Dwight Garner,"Again and Again, Literature Provides an Outlet for the Upended Lives of Refugees",The current flood of refugees from Ukraine is a reminder of how much of literature is fueled by such crises and their aftermaths.,all,1,2022-03-07T20:21:51+0000,News
1142,U.S.,By Carol Rosenberg,‘20th Hijacker’ Is Returned to Saudi Arabia for Mental Health Care,"Mohammed al-Qahtani had spent 20 years at Guantánamo Bay, where he was tortured so badly that he was ineligible to be tried at the war crimes court.",all,18,2022-03-07T20:22:56+0000,News
1143,The Learning Network,By The Learning Network,"Live Webinar: Teaching With ‘Black History, Continued’","Join us on March 31 as Veronica Chambers discusses the “Black History, Continued” series and the continuing importance of exploring pivotal moments and transformative figures in Black history.",all,,2022-03-07T20:32:04+0000,News
1144,U.S.,By Patricia Mazzei,"Contradicting federal guidance, Florida will recommend against Covid vaccines for healthy children.","The C.D.C. has urged parents to get their eligible children vaccinated. “Covid-19 can make children very sick and cause children to be hospitalized,” the agency’s website says.",all,16,2022-03-07T20:33:51+0000,News
1145,Food,By Florence Fabricant,Start Planning Your Picnics With This Wine and Cheese Tote,"The insulated bag also comes with a cutting board, a cheese knife and a wine opener.",all,3,2022-03-07T20:33:56+0000,News
1146,Food,By Florence Fabricant,Sweet-Savory Hamantaschen Perfect for Purim,"The mother-daughter baking team Birdie’s Batch in West Nyack, N.Y., make a goat cheese and quince paste version, among others.",all,3,2022-03-07T20:37:49+0000,News
1147,Food,By Florence Fabricant,Miss the Carnegie Deli? Murray’s Cheese Shop Has You Covered.,The cheese shop now sells the shuttered restaurant’s meats and its cinnamon and chocolate babkas.,all,3,2022-03-07T20:41:26+0000,News
1148,Food,By Florence Fabricant,This Greek Olive Vodka Calls for a Martini,"Kástra Elión is distilled from wheat and a mixture of olives hand-picked in Nafpaktos, Greece.",all,3,2022-03-07T20:50:12+0000,News
1149,Food,By Florence Fabricant,"De Gustibus, at Macy’s, Returns With In-Person Cooking Classes","The cooking school, which features classes from chefs, now has a hybrid schedule with both virtual and in-person courses.",all,3,2022-03-07T20:51:08+0000,News
1150,Briefing,By Matthew Cullen,Your Tuesday Briefing: Russia escalates attacks on civilians,Plus new research warning of a drier Amazon and Xi’s relationship with Putin.,all,,2022-03-07T21:00:58+0000,briefing
1151,Food,By Kayla Stewart and Clay Williams,"One Huge Hog, One Long Day and a Nourishing Southern Tradition","At his farm in South Carolina, Marvin Ross is carrying on the ritual of hog slaughters, a disappearing staple of Black agrarian life.",all,1,2022-03-07T21:10:09+0000,News
1152,Sports,By Ken Belson,N.F.L. Hands Calvin Ridley a 1-Year Suspension for Betting on Games,"The league said Ridley, a receiver for the Atlanta Falcons, bet on games in November while he was on leave from the team to address a mental health issue.",all,13,2022-03-07T21:10:11+0000,News
1153,World,By Lara Jakes,"Baltics, in Russia's Shadow, Demand Tougher Stance From West","“We have no illusions about Putin’s Russia anymore,” said one Baltic official in a meeting with the U.S. secretary of state.",all,13,2022-03-07T21:10:36+0000,News
1154,World,By Neil MacFarquhar,The letter ‘Z’ has become a symbol for Russians who support the invasion of Ukraine.,"The letter, painted on Russian military vehicles, is suddenly ubiquitous in Russia, prompting talk of a Kremlin public relations campaign.",all,9,2022-03-07T21:32:36+0000,News
1155,World,By Patrick Kingsley and Laetitia Vancon,"Once Victims in Southeast Europe, Jews Come to Aid Fleeing Ukrainians","Today, as in the early 1900s, Jews are once again escaping violence in southeast Europe. But the context is radically different — cathartically so for the many Israelis who have come here to join the relief effort.",all,10,2022-03-07T21:47:42+0000,News
1156,Business Day,By Noele Illien,"Switzerland joined in sanctions, but Russia’s oil, metals and grains still trade there.",Swiss authorities estimate that 80% of Russia’s raw materials and resources are exchanged in their country.,all,4,2022-03-07T21:47:53+0000,News
1157,Food,By Priya Krishna,The Dreamiest Desserts Start With These Two Flavors,"Kesar pista, an intoxicating combination of fragrant saffron and earthy pistachio, is a favorite on the Indian subcontinent — and an excellent base for many sweets.",all,3,2022-03-07T22:02:36+0000,News
1158,Food,By Florence Fabricant,A Cooking Competition for Julia Child Disciples,"For “The Julia Child Challenge,” on the Food Network and Discovery+, eight competitors will prepare the chef’s classic recipes.",all,3,2022-03-07T22:05:59+0000,News
1159,Opinion,By Tressie McMillan Cottom,How to Avoid Drowning in an Ocean of Information,Responsible citizens must bear witness to what’s happening in Ukraine. But we have limits.,all,,2022-03-07T22:11:52+0000,Op-Ed
1160,Opinion,By Paul Krugman,Why China Can’t Bail Out Putin’s Economy,"No, the Chinese can’t protect Russia from sanctions.",all,21,2022-03-07T22:19:13+0000,Op-Ed
1161,Briefing,By Jonathan Wolfe and Whet Moser,Risks to the Brain,Covid-19 may cause  tissue damage and loss of gray matter,all,,2022-03-07T22:25:03+0000,briefing
1162,Briefing,By Remy Tumin,Your Monday Evening Briefing,Here’s what you need to know at the end of the day.,all,,2022-03-07T22:31:08+0000,briefing
1163,U.S.,"By Alan Rappeport, Edward Wong and Michael D. Shear",U.S. Weighs Russian Oil Ban as Gas Prices Surge and Ukraine War Grows,"Global stocks dipped on Monday as U.S. officials discussed an oil cutoff, and gas prices hit a national average above $4, up more than 10 percent in a week.",all,1,2022-03-07T22:46:35+0000,News
1164,U.S.,By Neil Vigdor and Christine Chung,6 Teenagers Are Charged With Murder After Iowa School Shooting,"A 15-year-old was killed and two other teenagers were injured in the shooting outside East High School in Des Moines, the authorities said.",all,,2022-03-07T22:49:08+0000,News
1165,Briefing,By Carole Landry,Fleeing Civilians Under Fire,Fears are growing for Ukrainians trapped in besieged cities.,all,,2022-03-07T22:50:46+0000,News
1166,U.S.,By Adam Liptak,Supreme Court Allows Court-Imposed Voting Maps in North Carolina and Pennsylvania,State courts had ruled that earlier maps for congressional elections had been warped by partisan gerrymandering. Democrats stand to benefit from the justices’ decision.,all,1,2022-03-07T22:57:17+0000,News
1167,World,"By Michael Schwirtz, Andrew E. Kramer and Rick Gladstone",Humanitarian Crisis Worsens for Ukrainians Trapped in Russia’s Onslaught,"Two weeks after the invasion began, tens of thousands of Ukrainians are without food, water or power. The Russians are increasingly resorting to indiscriminate shelling to help their forces advance.",all,1,2022-03-07T23:26:48+0000,News
1168,U.S.,By Catie Edmondson,War in Ukraine Rallies Support in Congress for More Military Spending,A bipartisan consensus in Congress to increase the Pentagon’s budget is growing stronger as Russia’s invasion of Ukraine has created a sense of insecurity.,all,12,2022-03-07T23:46:53+0000,News
1169,U.S.,By Blake Hounshell and Leah Askarinam,Climate Hawks Join the Debate on Ukraine,Environmentalists say now is the time to choke off Russia’s oil and gas profits. But the White House has difficult choices to make.,all,18,2022-03-08T00:00:08+0000,News
1170,U.S.,"By Helene Cooper, Eric Schmitt and Julian E. Barnes","As Russia’s Military Stumbles, Its Adversaries Take Note","President Vladimir Putin could still reduce cities in Ukraine to rubble, officials say. But European countries say they are not as intimidated by Russian ground forces as they were in the past.",all,1,2022-03-08T00:19:18+0000,News
1171,U.S.,By Mitch Smith,The Chicago teachers’ union vows to fight a plan to lift a school mask mandate.,"Chicago Public Schools has announced plans to lift a mask requirement in the third-largest U.S. school district starting next week, infuriating members of the teachers’ union who stopped reporting to school buildings for a week in January to demand additional Covid-19 safeguards.",all,,2022-03-08T00:33:57+0000,News
1172,World,By Jesus Jiménez,"Zelensky addressed Ukraine from his office, showing that he remained in Kyiv.",The Ukrainian president told his people that he was not afraid or in hiding.,all,,2022-03-08T00:41:39+0000,News
1173,New York,"By Sharon Otterman, Julianne McShane, Nate Schweber and Lola Fadulu","Allowed to go maskless, some New York City students choose not to.","For the first time in two years, students in New York City were allowed to attend public school without masks on Monday, but some of them said they would keep them on.",all,,2022-03-08T01:06:48+0000,News
1174,U.S.,By Alyssa Lukpat,A Smithsonian zoo and museum are set to reopen seven days a week with masks optional.,The Smithsonian Institution says that it will expand some of its opening hours in the next week and no longer require visitors to wear a mask at its zoo and its nearly two dozen museums along the East Coast.,all,,2022-03-08T02:17:14+0000,News
1175,U.S.,By Emily Cochrane,Congress Gives Final Approval to Make Lynching a Hate Crime,The bill’s unanimous passage in the Senate ended more than a century of failed attempts to explicitly criminalize lynching.,all,22,2022-03-08T02:39:03+0000,News
1176,World,By Rebecca Robbins,Moderna opens the door to enforcing its vaccine patents in some countries.,The company had previously pledged not to enforce its Covid vaccine patents anywhere during the pandemic.,all,,2022-03-08T02:59:32+0000,News
1177,Crosswords & Games,By Rachel Fabi,Makes a Good Impression,Mary Lou Guizzo’s puzzle celebrates brilliance.,all,,2022-03-08T03:00:05+0000,News
1178,Movies,By Kyle Buchanan,"At the Oscar Nominees Luncheon: Glamour, Griping and Gluten-Free Meals","At the annual event for nominees and their guests, everyone was happy to be meeting face to face, but the plan to pretape several awards on Oscar night was a sore subject.",all,1,2022-03-08T04:32:32+0000,News
1179,Briefing,By Natasha Frost,Your Tuesday Briefing,An intensifying humanitarian crisis in Ukraine.,all,,2022-03-08T05:48:02+0000,briefing
1180,Opinion,By Zanna Sloniowska,I Left Ukraine 20 Years Ago. But It Never Left Me.,"Departure, however final it seems, is not forever.",all,21,2022-03-08T06:00:07+0000,Op-Ed
1181,Arts,By Trish Bendix,Seth Meyers Skewers Trump for a ‘Looney’ Idea on Russia,Meyers said the former president’s suggestion that the U.S. paint Chinese flags on planes and bomb Russia was “a slightly stupider version of Bugs Bunny dressing up as a sexy lady to distract Elmer Fudd.”,all,,2022-03-08T06:41:04+0000,News
1182,World,By Austin Ramzy,"Venezuela could be a fill-in for Russian oil, but critics fear aiding another strongman.",U.S. officials are reportedly considering easing sanctions on Venezuelan crude as oil prices have skyrocketed.,all,,2022-03-08T06:50:59+0000,News
1183,The Learning Network,By The Learning Network,Word of the Day: concoction,This word has appeared in 65 articles on NYTimes.com in the past year. Can you use it in a sentence?,all,,2022-03-08T07:00:04+0000,News
1184,World,"By Michael Forsythe, Gaia Pianigiani and David D. Kirkpatrick",A 459-Foot Mystery in a Tuscan Port: Is It a Russian’s Superyacht?,"As European authorities go after the luxury assets of oligarchs close to Vladimir Putin, a superyacht cloaked in secrecy has come under investigation.",all,11,2022-03-08T07:00:11+0000,News
1185,World,By Ada Petriczko,"For this border crisis, Poles extend a warm welcome, unlike last time.","Hundreds of thousands of Polish families have opened their homes to refugees from Ukraine, a sharp contrast to the country’s response to a different crisis last fall at the border with Belarus.",all,,2022-03-08T07:47:36+0000,News
1186,Corrections,,"Corrections: March 8, 2022","Corrections that appeared in print on Tuesday, March 8, 2022.",all,19,2022-03-08T07:56:13+0000,Correction
1187,Today’s Paper,,Quotation of the Day: Military Giant Proves Clumsy. Rivals Notice.,"Quotation of the Day for Tuesday, March 8, 2022.",all,3,2022-03-08T07:56:21+0000,Quote
1188,Science,By Sabrina Imbler,Finding a Retirement Home for 466 Frozen Flatworm Fragments,"When researchers end their careers, where do their biological collections go?",all,5,2022-03-08T07:59:07+0000,News
1189,The Learning Network,By The Learning Network,Taste Test,Do you like trying new foods?,all,,2022-03-08T08:00:02+0000,News
1190,Business Day,"By Michael Corkery, Emma Goldberg and Erin Woo","Rising Gas Prices Have Drivers Asking, ‘Is This for Real?’","The average price of a gallon of gasoline is up more than 10 percent in the last week, leading some consumers to rethink their routines and spending.",all,1,2022-03-08T08:02:31+0000,News
1191,World,"By Christina Goldbaum, Yaqoob Akbary and Kiana Hayeri",The Smugglers’ Paradise of Afghanistan,"For decades, the smuggling trade — of people, drugs and money — has dominated Nimruz Province. Now, as hundreds of thousands of Afghans try to flee, business has further boomed for those who hold the keys to the gate.",all,6,2022-03-08T08:02:47+0000,News
1192,Style,By Jessica Testa,"Holly Golightly, Hypebeast",Givenchy makes pearls for tough girls at Paris Fashion Week.,all,5,2022-03-08T08:49:48+0000,News
1193,Style,By Vanessa Friedman,Louis Vuitton’s Teenage Dream,And Stella McCartney’s artistic adulting. Designers go on a tour through the ages.,all,5,2022-03-08T08:57:24+0000,News
1194,The Learning Network,By Jeremy Engle,Lesson of the Day: ‘A Search Begins for the Wreck Behind an Epic Tale of Survival’,"In this lesson, students will learn how a team of modern adventurers are searching the icy Antarctic seas for Ernest Shackleton’s ship Endurance over 100 years after it was lost.",all,,2022-03-08T09:00:07+0000,News
